Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.5699999928474426,0.8836147785186768,0.003000750206410885,0.6338289976119995,,,,,,,,16,True,0.001,0.001,0.95,Focal,True,0.995,ASSAULT
0.5671738982200623,0.8722044825553894,0.003750937758013606,0.6440520286560059,,,,,,,,16,True,0.001,0.001,0.95,Focal,True,0.99,ASSAULT
0.5628260970115662,0.8977635502815247,0.0015003751032054424,0.5762081742286682,,,,,,,,16,True,0.001,0.05,0.95,Focal,True,0.999,ASSAULT
0.5643478035926819,0.9023277163505554,0.0015003751032054424,0.5734200477600098,,,,,,,,16,True,0.001,0.05,0.95,Focal,True,0.995,ASSAULT
0.5710869431495667,0.889548122882843,0.0,0.6301115155220032,,,,,,,,16,True,0.001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5679121017456055,0.8711256384849548,0.02863777056336403,0.6659619212150574,,,,,,,,16,True,0.001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5712087750434875,0.8673191666603088,0.021671826019883156,0.6878083348274231,,,,,,,,16,True,0.001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5667391419410706,0.8626198172569275,0.05101275444030762,0.6031598448753357,,,,,,,,16,True,0.001,0.0005,0.99,Focal,True,0.99,ASSAULT
0.5693477988243103,0.8598813414573669,0.04801200330257416,0.6236059665679932,,,,,,,,16,True,0.001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5708695650100708,0.8685531616210938,0.04726181551814079,0.613382875919342,,,,,,,,16,True,0.001,0.001,0.99,Focal,True,0.995,ASSAULT
0.5693477988243103,0.8676403760910034,0.04426106438040733,0.6124535202980042,,,,,,,,16,True,0.001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5663043260574341,0.8817891478538513,0.023255813866853714,0.5966542959213257,,,,,,,,16,True,0.001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5663043260574341,0.8790506720542908,0.023255813866853714,0.6022304892539978,,,,,,,,16,True,0.001,0.05,0.99,Focal,True,0.995,ASSAULT
0.5654347538948059,0.8813326954841614,0.024756189435720444,0.5920074582099915,,,,,,,,16,True,0.001,0.05,0.99,Focal,True,0.99,ASSAULT
0.37282609939575195,0.4504792392253876,0.28807201981544495,0.3197025954723358,,,,,,,,16,True,0.0001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.37934064865112305,0.41560283303260803,0.3392592668533325,0.3585253357887268,,,,,,,,16,True,0.0001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.35891303420066833,0.3806695342063904,0.304101824760437,0.3868066072463989,,,,,,,,16,True,0.0001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.3757777810096741,0.43214452266693115,0.2219662070274353,0.45139557123184204,,,,,,,,16,True,0.0001,0.001,0.9,Focal,True,0.999,ASSAULT
